year,month,id,group_name
2009,12,1498,Mathematics
2010,1,1661,Mathematics
2010,2,1475,Mathematics
2010,3,1804,Mathematics
2010,4,1757,Mathematics
2010,5,1709,Mathematics
2010,6,1740,Mathematics
2010,7,1662,Mathematics
2010,8,1586,Mathematics
2010,9,1871,Mathematics
2010,10,2090,Mathematics
2010,11,1926,Mathematics
2010,12,1890,Mathematics
2011,1,1783,Mathematics
2011,2,1916,Mathematics
2011,3,2087,Mathematics
2011,4,1893,Mathematics
2011,5,2064,Mathematics
2011,6,1880,Mathematics
2011,7,1918,Mathematics
2011,8,1904,Mathematics
2011,9,2131,Mathematics
2011,10,2209,Mathematics
2011,11,2208,Mathematics
2011,12,2168,Mathematics
2012,1,2122,Mathematics
2012,2,2163,Mathematics
2012,3,2337,Mathematics
2012,4,2104,Mathematics
2012,5,2300,Mathematics
2012,6,2166,Mathematics
2012,7,2282,Mathematics
2012,8,2000,Mathematics
2012,9,2243,Mathematics
2012,10,2714,Mathematics
2012,11,2491,Mathematics
2012,12,2321,Mathematics
2013,1,2525,Mathematics
2013,2,2416,Mathematics
2013,3,2547,Mathematics
2013,4,2499,Mathematics
2013,5,2465,Mathematics
2013,6,2304,Mathematics
2013,7,2587,Mathematics
2013,8,2200,Mathematics
2013,9,2591,Mathematics
2013,10,2834,Mathematics
2013,11,2544,Mathematics
2013,12,2710,Mathematics
2014,1,2680,Mathematics
2014,2,2468,Mathematics
2014,3,2806,Mathematics
2014,4,2612,Mathematics
2014,5,2628,Mathematics
2014,6,2489,Mathematics
2014,7,2714,Mathematics
2014,8,2406,Mathematics
2014,9,2773,Mathematics
2014,10,2923,Mathematics
2014,11,2791,Mathematics
2014,12,2809,Mathematics
2015,1,2719,Mathematics
2015,2,2609,Mathematics
2015,3,3043,Mathematics
2015,4,2808,Mathematics
2015,5,2793,Mathematics
2015,6,2977,Mathematics
2015,7,2968,Mathematics
2015,8,2707,Mathematics
2015,9,3067,Mathematics
2015,10,3102,Mathematics
2015,11,2956,Mathematics
2015,12,2986,Mathematics
2016,1,3006,Mathematics
2016,2,2988,Mathematics
2016,3,3182,Mathematics
2016,4,2880,Mathematics
2016,5,3165,Mathematics
2016,6,2954,Mathematics
2016,7,2823,Mathematics
2016,8,2795,Mathematics
2016,9,3166,Mathematics
2016,10,3207,Mathematics
2016,11,3154,Mathematics
2016,12,3072,Mathematics
2017,1,3137,Mathematics
2017,2,2854,Mathematics
2017,3,3520,Mathematics
2017,4,2866,Mathematics
2017,5,3382,Mathematics
2017,6,3177,Mathematics
2017,7,3093,Mathematics
2017,8,3019,Mathematics
2017,9,3278,Mathematics
2017,10,3500,Mathematics
2017,11,3422,Mathematics
2017,12,3231,Mathematics
2018,1,3204,Mathematics
2018,2,3148,Mathematics
2018,3,3515,Mathematics
2018,4,3220,Mathematics
2018,5,3490,Mathematics
2018,6,3257,Mathematics
2018,7,3197,Mathematics
2018,8,3115,Mathematics
2018,9,3334,Mathematics
2018,10,3714,Mathematics
2018,11,3424,Mathematics
2018,12,3411,Mathematics
2019,1,3438,Mathematics
2019,2,3283,Mathematics
2019,3,3717,Mathematics
2019,4,3439,Mathematics
2019,5,3728,Mathematics
2019,6,3309,Mathematics
2019,7,3668,Mathematics
2019,8,3156,Mathematics
2019,9,3640,Mathematics
2019,10,4110,Mathematics
